,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
140,Charmed,"Drama, Fantasy, Mystery",6.7,"Mel, Maggie and Kaela along with Harry and Jordan, have now discovered that the cabal of foes coalescing to bring down the Power of Three are actually working for an ancient evil that's ...                See full summary »",Kevin Dowling,121,N/A,rainy-weather
141,Rimoldigno,Comedy,N/A,"What could go wrong during a quick trip to fill up gas and go home quickly while enjoying your day? Well, how about a prank from Rimoldi at the Gas Station?",Rimoldigno,N/A,N/A,rainy-weather
142,One Lone Cat,Reality-TV,N/A,And the rainy summer in Herkimer continues.,Tim Haines,N/A,N/A,rainy-weather
143,Gisaengchung,"Drama, Thriller",8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,850020,$53.37M,thunderstorm
144,Ford v Ferrari,"Action, Biography, Drama",8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,415848,$117.62M,thunderstorm
145,Knock Knock,"Crime, Drama, Horror",4.9,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,98728,$0.04M,thunderstorm
146,Back to the Future,"Adventure, Comedy, Sci-Fi",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,1235174,$210.61M,thunderstorm
147,The Goonies,"Adventure, Comedy, Family",7.7,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Richard Donner,284244,$61.50M,thunderstorm
148,Evil Dead II,"Comedy, Horror",7.7,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Sam Raimi,172290,$5.92M,thunderstorm
149,The Lion King,"Animation, Adventure, Drama",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,1082417,$422.78M,thunderstorm
150,Call Me by Your Name,"Drama, Romance",7.8,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Luca Guadagnino,287272,$18.10M,thunderstorm
151,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,1699758,$342.55M,thunderstorm
152,Superman,"Action, Adventure, Sci-Fi",7.4,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",Richard Donner,180207,$134.22M,thunderstorm
153,Almost Famous,"Adventure, Comedy, Drama",7.9,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,283082,$32.53M,thunderstorm
154,The Passion of the Christ,Drama,7.2,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Mel Gibson,239777,$370.78M,thunderstorm
155,Coraline,"Animation, Drama, Family",7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,241952,$75.29M,thunderstorm
156,Unforgiven,"Drama, Western",8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,420077,$101.16M,thunderstorm
157,Toy Story,"Animation, Adventure, Comedy",8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,1015551,$191.80M,thunderstorm
158,Caligola,"Drama, History",5.3,"A dramatization of the ascent to Caesar and subsequent reign of Caligula, one of the most notorious leaders of ancient Rome. We see his ambition, his scheming, his perversion and decadence, his brutality and his lunacy.",Tinto Brass,36894,$23.44M,thunderstorm
159,It Follows,"Horror, Mystery, Thriller",6.8,A young woman is followed by an unknown supernatural force after a sexual encounter.,David Robert Mitchell,252043,$14.67M,thunderstorm
160,Us,"Horror, Mystery, Thriller",6.8,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Jordan Peele,314194,$175.08M,thunderstorm
161,Carrie,"Horror, Mystery",7.4,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",Brian De Palma,194350,$33.80M,thunderstorm
162,Identity,"Mystery, Thriller",7.3,"Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",James Mangold,255929,$52.16M,thunderstorm
163,Flight,"Drama, Thriller",7.3,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",Robert Zemeckis,362786,$93.77M,thunderstorm
164,Clue,"Comedy, Crime, Mystery",7.2,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.",Jonathan Lynn,101842,$14.64M,thunderstorm
165,The Mist,"Horror, Sci-Fi, Thriller",7.1,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont,321821,$25.59M,thunderstorm
166,Caddyshack,"Comedy, Sport",7.2,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,Harold Ramis,122007,$39.85M,thunderstorm
167,Harry Potter and the Order of the Phoenix,"Action, Adventure, Family",7.5,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,599665,$292.00M,thunderstorm
168,Yesterday,"Comedy, Fantasy, Music",6.8,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.,Danny Boyle,158727,$73.29M,thunderstorm
169,The Day After Tomorrow,"Action, Adventure, Sci-Fi",6.4,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",Roland Emmerich,459200,$186.74M,thunderstorm
170,28 Days Later...,"Drama, Horror, Sci-Fi",7.5,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,424306,$45.06M,thunderstorm
171,Police Academy,Comedy,6.7,"A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks.",Hugh Wilson,131143,$81.20M,thunderstorm
172,Up,"Animation, Adventure, Comedy",8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,1066769,$293.00M,thunderstorm
173,Labyrinth,"Adventure, Family, Fantasy",7.3,Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,Jim Henson,142608,$12.73M,thunderstorm
174,WALL·E,"Animation, Adventure, Family",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,1140099,$223.81M,thunderstorm
175,The Rocky Horror Picture Show,"Comedy, Horror, Musical",7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,Jim Sharman,157495,$139.88M,thunderstorm
176,Pan's Labyrinth,"Drama, Fantasy, War",8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,679900,$37.63M,thunderstorm
177,The Ritual,"Horror, Mystery, Thriller",6.3,"A group of old college friends reunite for a trip to a forest in Sweden, Northern Europe, but encounter a menacing presence there stalking them.",David Bruckner,107748,N/A,thunderstorm
178,Key Largo,"Action, Crime, Drama",7.7,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",John Huston,42408,N/A,thunderstorm
179,The Sound of Music,"Biography, Drama, Family",8.1,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,244009,$163.21M,thunderstorm
180,The Conjuring 2,"Horror, Mystery, Thriller",7.3,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,James Wan,280886,$102.47M,thunderstorm
181,Weird Science,"Comedy, Romance, Sci-Fi",6.6,"Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down.",John Hughes,92695,$23.83M,thunderstorm
182,Clash of the Titans,"Action, Adventure, Fantasy",5.8,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",Louis Leterrier,286761,$163.21M,thunderstorm
183,Beauty and the Beast,"Animation, Family, Fantasy",8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale,463483,$218.97M,thunderstorm
184,The Machinist,"Drama, Thriller",7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Brad Anderson,400191,$1.08M,thunderstorm
185,Minari,Drama,7.4,A Korean family starts a farm in 1980s Arkansas.,Lee Isaac Chung,86721,N/A,thunderstorm
186,Big Fish,"Adventure, Drama, Fantasy",8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,447701,$66.26M,thunderstorm
187,Matlock,"Crime, Drama, Mystery",7.1,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer.",Andy Griffith,8530,N/A,thunderstorm
188,Back to the Future Part II,"Adventure, Comedy, Sci-Fi",7.8,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Robert Zemeckis,546842,$118.50M,thunderstorm
189,Supercell,"Action, Adventure, Drama",4.3,"A teenage boy runs away to follow his fathers footsteps, legendary storm chaser Bill Brody.",Herbert James Winterstern,1087,N/A,thunderstorm
190,The Autopsy of Jane Doe,"Horror, Mystery, Thriller",6.8,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",André Øvredal,125964,$0.01M,thunderstorm
191,Tenki no ko,"Animation, Drama, Fantasy",7.5,A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather.,Makoto Shinkai,47161,$7.80M,thunderstorm
192,Poltergeist,"Horror, Thriller",7.3,A family's home is haunted by a host of demonic ghosts.,Tobe Hooper,170215,$76.61M,thunderstorm
193,The Covenant,"Action, Adventure, Fantasy",5.1,"Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart.",Renny Harlin,50675,$23.29M,thunderstorm
